timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-06T16:06:35.075130;398;0;0;0;199;0;76;0;1;197.7456976383165;123;0;123;0;0;0;1;61.112363842997304;76;0;76;0;76;0;0;37.76048497616094
2025-11-06T16:06:37.093076;400;0;0;0;200;0;88;0;0;198.41476015563123;119;0;119;0;7;0;0;59.028391146300294;81;0;81;0;81;0;0;40.17898893151533
2025-11-06T16:06:39.109031;400;0;0;6;194;0;82;0;1;198.56589854202645;112;0;112;0;0;0;0;55.5984515917674;82;0;82;0;82;0;1;40.70600920111542
2025-11-06T16:06:41.123093;400;0;0;0;200;0;94;0;1;198.73621645799454;107;0;107;0;1;0;1;53.16193790251354;93;0;93;0;93;0;0;46.20617032648373
2025-11-06T16:06:43.137074;400;0;0;0;200;0;85;0;0;198.77695160151;119;0;119;0;4;0;0;59.13614310144923;81;0;81;0;81;0;0;40.252332699305775
2025-11-06T16:06:45.157063;394;0;0;0;197;0;89;0;0;195.22448888941392;110;0;110;0;2;0;0;54.50429892851658;87;0;87;0;87;0;0;43.107945516190384
2025-11-06T16:06:47.275044;400;0;2;6;194;0;92;0;2;189.0059801366589;112;0;112;0;10;0;1;52.921674438264496;82;0;82;0;82;0;1;38.74622592801507
2025-11-06T16:06:49.291037;400;0;0;0;200;0;84;0;0;198.5726201034051;120;0;120;0;4;0;0;59.571786031021524;80;0;80;0;80;0;0;39.71452402068102
2025-11-06T16:06:51.305032;400;0;1;0;200;0;90;0;0;198.7249407190891;111;0;111;0;1;0;0;55.14617104954722;89;0;89;0;89;0;0;44.216299309997325
2025-11-06T16:06:53.322060;400;0;8;18;182;0;96;2;2;198.43191484983024;99;0;99;0;13;1;1;49.11189892533299;83;0;83;0;83;1;1;41.174622331339776
2025-11-06T16:06:55.338038;398;0;10;12;187;0;93;0;5;197.53440004297795;111;1;110;0;15;0;3;55.091252273292845;78;1;77;0;78;0;2;38.7127718677193
2025-11-06T16:06:57.353094;396;0;4;7;191;0;90;0;0;196.65879421034174;109;0;109;0;6;0;0;54.13082971951326;82;0;82;0;82;0;0;40.722275568808136
2025-11-06T16:06:59.368068;318;0;34;84;58;0;101;0;5;157.96466076214747;32;9;23;0;24;0;3;15.895814919461381;65;42;23;0;65;0;2;32.28837405515593
2025-11-06T16:07:01.382084;316;0;121;145;0;0;122;0;0;157.05336709652727;0;0;0;0;0;0;0;0.0;35;35;0;0;35;0;0;17.39515141891916
2025-11-06T16:07:03.399070;242;0;77;99;14;0;80;0;0;120.11104509417157;10;3;7;0;9;0;0;4.963266326205437;85;78;7;0;63;0;0;42.18776377274621
2025-11-06T16:07:05.413070;360;0;165;175;5;0;164;0;1;178.86081509247296;5;2;3;0;2;0;1;2.4841779873954577;51;49;2;0;40;0;0;25.33861547143367
2025-11-06T16:07:07.428050;336;0;72;127;37;0;139;2;8;166.87745842646495;6;4;2;0;5;0;0;2.979954614758303;16;14;2;0;16;0;0;7.946545639355475
2025-11-06T16:07:09.443070;400;0;0;117;83;0;140;6;12;198.64091909994812;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:07:11.457063;400;0;0;148;52;0;116;2;8;198.7458218543906;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:07:13.471070;348;0;1;77;82;0;132;2;4;172.9012866039621;37;18;19;0;28;0;0;18.38318277111091;41;22;19;0;41;0;0;20.37055388150128
2025-11-06T16:07:15.485066;392;0;0;82;108;0;127;0;8;194.81408438454903;68;13;55;0;63;0;4;33.794279944258506;64;11;53;0;64;0;4;31.806381124008002
2025-11-06T16:07:17.500063;254;0;13;55;44;0;92;2;0;126.18725831751382;37;21;16;0;30;1;0;18.38160849507091;50;34;16;0;50;1;0;24.840011479825556
2025-11-06T16:07:19.517072;320;0;37;92;30;0;107;2;0;158.8153325771472;34;20;14;0;29;1;0;16.87412908632189;62;46;16;0;62;1;0;30.770470686822268
2025-11-06T16:07:21.532048;194;0;30;61;31;5;72;0;0;96.34653803331786;30;18;12;0;24;0;0;14.898949180409977;58;42;11;5;40;0;0;28.804635082125955
2025-11-06T16:07:23.546059;308;0;24;86;35;0;47;0;6;153.02170253906607;17;6;11;0;16;0;1;8.446003062221179;42;31;11;0;18;0;1;20.866595800781734
2025-11-06T16:07:25.560031;400;0;0;7;193;0;193;0;2;198.75893660302995;114;0;114;0;114;0;1;56.64629693186354;79;0;79;0;79;0;1;39.254889979098415
2025-11-06T16:07:27.579099;352;0;12;52;112;0;101;0;3;174.43838224512788;68;1;67;0;54;0;1;33.69832384280879;59;14;45;0;47;0;2;29.238251569495866
2025-11-06T16:07:29.593032;398;0;0;33;166;0;63;0;3;197.74443272113493;106;0;106;0;1;0;2;52.66560268452337;60;0;60;0;60;0;1;29.810718500673605
2025-11-06T16:07:31.610041;400;0;0;3;197;0;74;0;0;198.42930977365015;124;0;124;0;1;0;0;61.51308602983155;73;0;73;0;73;0;0;36.21334903369115
2025-11-06T16:07:33.664038;398;0;0;5;194;0;81;0;0;193.88486604810103;113;0;113;0;0;0;0;55.047713224712105;81;0;81;0;81;0;0;39.45898027612107
2025-11-06T16:07:35.680063;400;0;0;8;192;0;85;0;0;198.52367592435917;107;0;107;0;0;0;0;53.10508330976607;85;0;85;0;85;0;0;42.18628113392632
2025-11-06T16:07:37.696086;398;0;0;3;196;0;87;0;0;197.64043695752218;109;0;109;0;0;0;0;54.12765735771336;87;0;87;0;87;0;0;43.20280908367947
